distance (m),Canopy_CoverL,Canopy_CoverR,,Canopy_Height_L (m),Canopy_Height_R (m),Canopy_DL,Canopy_AL,Canopy_RL,Canopy_AR,,canopy_coverL2,canopy_coverR2
0,95.06,91.94,,10.0,9.8,6,59,5,63,,88.4,86.2
5,97.14,98.7,,7.7,8.7,5,57,5,60,,89.5,86.1
10,95.06,96.1,,5.2,9.8,5,46,5,63,,88.6,86.8
15,97.66,96.62,,9.4,10.3,5,62,5,64,,89.5,87
20,95.58,95.58,,18.2,9.4,7,69,5,62,,89.7,87.9
25,95.06,94.8,,8.0,6.4,6,53,5,52,,92.1,91.4
30,96.36,95.06,,9.4,6.2,5,62,5,51,,88.4,90.4
35,95.32,95.32,,6.2,6.2,6,46,5,51,,92.1,90.8
40,96.36,95.58,,9.2,7.7,6,57,5,57,,90.7,80
45,97.4,95.58,,8.2,6.6,4,64,5,53,,85.7,90
50,97.92,97.4,,8.3,6.4,5,59,5,52,,89.4,89.4
55,96.88,98.18,,10.0,14.1,6,59,6,67,,86.8,88.4
60,97.92,97.14,,9.6,12.9,6,58,6,65,,90.9,89.7
65,97.92,97.4,,11.2,8.0,7,58,5,58,,92.9,92.5
70,96.1,97.66,,7.7,6.9,5,57,5,54,,90.7,88.6
75,97.66,97.92,,7.7,7.7,6,52,5,57,,91.2,82.8
80,96.36,96.62,,7.1,11.2,5,55,5,66,,89.2,89.8
